Name,Age,Race,Gender,Occupation,Crime,Method,Death,Coordinates,County,Source1,Source2,Source3,,,
Steve P. Lacy,28,Black,Male,Farm Hand,Murder-Rape,Electrocution,Nov 15 1949,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9998ÿÿ,22 Nov 1949 1 - Nashville Banner at Southeast Collection (newspapers.com)ÿ,,,,
James Sandusky,20,White,Male,Ex Sailor,Murder-Robbery,Electrocution,Apr 22 1948,POINT (35.8023275 -087.4671159),Hickman,Espy Project Execution Records (albany.edu),https://newscomse.newspapers.com/image/534920458,https://newscomse.newspapers.com/image/587755321,,,
John Kelley,21,White,Male,Ex Sailor,Murder-Robbery,Electrocution,Apr 22 1948,POINT (35.8023275 -087.4671159),Hickman,Espy Project Execution Records (albany.edu),https://newscomse.newspapers.com/image/534920458,https://newscomse.newspapers.com/image/587755321,,,
Alvin Hicks,21,White,Male,Farm Hand,Murder-Rape,Electrocution,Aug 30 1948,POINT (36.4584642 -087.8118894),Stewart,https://archives.albany.edu/espy/catalog/9875,https://www.newspapers.com/article/the-tennessean/42457118/,,,,
John Luffman,ÿ?,White,Male,Farm Hand,Murder-Rape,Electrocution,Aug 30 1948,POINT (36.4584642 -087.8118894),Stewart,https://archives.albany.edu/espy/catalog/10008,https://www.newspapers.com/article/the-tennessean/42457118/,,,,
Billy Dixon,ÿ?,Black,Male,?,Rape,Electrocution,Jul 18 1945,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/concern/daos/ng451r373?locale=en,https://archives.albany.edu/concern/daos/6969z755j?locale=en,https://newscomse.newspapers.com/image/603271241,,,
Lawrence West,ÿ?,Black,Male,?,Murder,Electrocution,Jul 30 1941,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/concern/daos/6969z755j?locale=en,https://newscomse.newspapers.com/image/602998447,https://newscomse.newspapers.com/image/772796559,,,
Anderson Berry,ÿ?,Black,Male,?,Murder-Robbery,Electrocution,Mar 17 1937,POINT (35.1427838 -086.5934033),Lincoln,Espy Project Execution Records (albany.edu),https://newscomse.newspapers.com/image/604496838,https://newscomse.newspapers.com/image/604486231,,,
James Smith,27,Black,Male,?,Murder-Robbery,Electrocution,Aug 14 1936,POINT (35.1427838 -086.5934033),Lincoln,Espy Project Execution Records (albany.edu),https://newscomse.newspapers.com/image/605275681,https://newscomse.newspapers.com/image/237644785,,,
J. D. Williams,ÿ?,Black,Male,?,Rape,Electrocution,Jul 05 1918,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/8964,https://newscomse.newspapers.com/image/584882021,,,,
Eddie Alsup,ÿ?,Black,Male,?,Rape,Electrocution,Jul 05 1918,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/8964,https://newscomse.newspapers.com/image/584882021,,,,
Frank Gilbreath,ÿ?,Black,Male,?,Murder,Hanging,Mar 02 1909,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/9844,https://newscomse.newspapers.com/image/604109058,https://newscomse.newspapers.com/image/604190297,,,
C. William Baird,ÿ?,White,Male,Farmer,Murder,Hanging,May 24 1907,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/8962,https://newscomse.newspapers.com/image/604218659,https://newscomse.newspapers.com/image/602996785,,,
Arthur Parson,ÿ?,Black,Male,?,Rape,Hanging,Feb 08 1906,POINT (35.2428473 -087.8198433),Wayne,https://archives.albany.edu/espy/catalog/10179,https://newscomse.newspapers.com/image/322934335,,,,
George Pearson,ÿ?,Black,Male,?,Murder,Hanging,Jun 18 1898,POINT (36.3542499 -085.6741278),Jackson,https://archives.albany.edu/espy/catalog/10182,https://newscomse.newspapers.com/image/603636746,https://newscomse.newspapers.com/image/584120434,,,
Frank Johnson,ÿ?,Black,Male,?,Murder-Robbery,Hanging,Dec 4 1896,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9981,27 Nov 1896 1 - Nashville Banner at Southeast Collection (newspapers.com)ÿ,04 Dec 1896 Page 2 - The Herald and Mail at Southeast Collection (newspapers.com)ÿ,,,
Matthew Galloway,ÿ?,Black,Male,?,Murder,Hanging,Apr 20 1895,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9838,,,,,
Lafayette Richey,ÿ?,Black,Male,?,Murder,Hanging,May 9 1894,POINT (36.3542499 -085.6741278),Jackson,https://archives.albany.edu/espy/catalog/10198,https://newscomse.newspapers.com/image/604546980,https://newscomse.newspapers.com/image/604546587,,,
George Stone,ÿ?,Black,Male,?,Murder,Hanging,Jul 6 1892,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/10303,https://newscomse.newspapers.com/image/603622884,https://newscomse.newspapers.com/image/604542975,,,
Bill Morrow,ÿ?,White,Male,Farmer,Murder,Hanging,Jun 20 1885,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/espy/catalog/10162,13 Jun 1884 1 - The Tennessean at Southeast Collection (newspapers.com)ÿ,20 Jun 1885 1 - The Tennessean at Southeast Collection (newspapers.com)ÿ,,,
W. W. Rea,ÿ?,White,Male,Farmer,Murder,Hanging,May 19 1882,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/10194,https://newscomse.newspapers.com/image/171992313,https://newscomse.newspapers.com/image/604770330,,,
John Williams,ÿ?,Black,Male,?,Murder,Hanging,Apr 8 1881,POINT (36.0408218 -087.7904526),Humphreys,https://archives.albany.edu/espy/catalog/10445,https://newscomse.newspapers.com/image/603969264,https://newscomse.newspapers.com/image/603969340,,,
Bill Mockbee,ÿ?,Black,Male,Farm Hand,Murder,Hanging,Sep 22 1876,POINT (36.4584642 -087.8118894),Stewart,https://archives.albany.edu/espy/catalog/10450 ,https://archive.org/details/historyoftenness00good_1/page/n979/mode/2up,https://chroniclingamerica.loc.gov/lccn/sn88061082/1876-09-16/ed-1/seq-1/ ,,,
